,bias2,hidden_size,test_acc,test_loss,train_acc,train_loss,train_size,variance
0,0.819129228591919,4.0,21.6426,0.8920563764125109,23.94387755102041,0.876211567223072,392.0,0.07292717695236206
1,0.7912557125091553,5.0,24.269600000000004,0.875423992246389,27.39795918367347,0.854229798913002,392.0,0.08416822552680969
2,0.7693233489990234,6.0,26.9808,0.8587427937388421,30.153061224489793,0.8361686736345291,392.0,0.0894194096326828
3,0.7487010955810547,7.0,30.391000000000005,0.8445767952203752,33.974489795918366,0.8195914626121521,392.0,0.09587565809488297
4,0.7348683476448059,8.0,31.40020000000001,0.8378081229031085,35.954081632653065,0.8053809970617294,392.0,0.10293977707624435
5,0.7153469324111938,9.0,33.559400000000004,0.8268152913451192,38.53571428571428,0.791718277335167,392.0,0.1114683598279953
6,0.6841516494750977,11.0,37.64039999999999,0.8026960683837533,42.29591836734695,0.7660527035593987,392.0,0.11854442209005356
7,0.6704607605934143,12.0,39.022200000000005,0.7977991095483303,44.68367346938777,0.7547845065593719,392.0,0.12733834981918335
8,0.6439089179039001,14.0,42.667,0.7772646837979554,49.239795918367356,0.7282384723424912,392.0,0.1333557516336441
9,0.6259436011314392,16.0,44.8676,0.7669100221544507,51.183673469387756,0.7126409098505974,392.0,0.14096640050411224
10,0.6030681133270264,18.0,47.62539999999999,0.7507857554033397,55.65816326530613,0.688302943110466,392.0,0.14771768450737
11,0.5756388902664185,21.0,49.8982,0.7329345529079437,58.61734693877551,0.6623225517570972,392.0,0.15729562938213348
12,0.5470302104949951,25.0,53.925399999999996,0.7108184641450644,63.79591836734692,0.6311685107648373,392.0,0.16378824412822723
13,0.52630215883255,28.0,56.28059999999999,0.6963630609363317,66.91326530612244,0.6064453139901161,392.0,0.17006085813045502
14,0.5043231248855591,32.0,58.86180000000001,0.6816106021925806,70.40306122448982,0.5802501387894153,392.0,0.17728747427463531
15,0.4812060594558716,37.0,60.79859999999999,0.6665161191523076,73.75000000000001,0.5513564750552178,392.0,0.18531006574630737
16,0.4606642723083496,43.0,63.06560000000001,0.6537116787284611,77.38265306122453,0.521685142815113,392.0,0.1930473893880844
17,0.4392583966255188,50.0,65.0262,0.639524198450148,80.41836734693875,0.4859646447002888,392.0,0.20026583969593048
18,0.4226778745651245,57.0,66.75399999999999,0.629193732134998,83.53571428571428,0.4613878957927227,392.0,0.2065158486366272
19,0.4042845368385315,66.0,68.1762,0.6225479388311504,86.03571428571428,0.4300563097000122,392.0,0.21826337277889252
20,0.38560420274734497,76.0,69.77720000000001,0.6130573411136866,88.765306122449,0.39733228608965876,392.0,0.22745312750339508
21,0.36999261379241943,87.0,70.80300000000001,0.609716562382877,91.30612244897958,0.3641441248357296,392.0,0.23972393572330475
22,0.3558848798274994,100.0,71.51060000000001,0.6146778835281731,93.57653061224484,0.33958715498447417,392.0,0.25879302620887756
23,0.3399587571620941,116.0,72.2224,0.6186133606806397,95.53061224489797,0.30135099552571776,392.0,0.2786546051502228
24,0.32558122277259827,133.0,72.85920000000002,0.6254836755096914,97.0816326530612,0.27220757827162745,392.0,0.29990246891975403
25,0.3113444447517395,153.0,73.3254,0.6394026104360818,98.55612244897954,0.23734104484319687,392.0,0.3280581831932068
26,0.2970083951950073,176.0,73.4658,0.6564062278643249,99.38775510204076,0.20446454137563705,392.0,0.359397828578949
27,0.2857917845249176,203.0,73.05919999999999,0.6832140721976756,99.71428571428567,0.1702136643230915,392.0,0.39742228388786316
28,0.2774200737476349,234.0,72.86659999999999,0.7101815943196417,99.91326530612243,0.13713020998984576,392.0,0.4327615201473236
29,0.26641911268234253,269.0,72.98039999999999,0.7308682342097164,99.99489795918367,0.10722495391964912,392.0,0.46444910764694214
30,0.2586577832698822,310.0,72.72099999999996,0.7418749109804632,100.0,0.07947338065132499,392.0,0.48321714997291565
31,0.2512286603450775,357.0,73.96060000000001,0.7273650681227446,100.0,0.05546755576506257,392.0,0.4761364161968231
32,0.2458086907863617,411.0,75.37599999999999,0.6907852604761721,100.0,0.03805050668306649,392.0,0.4449765980243683
33,0.2420474886894226,473.0,76.77859999999998,0.6438334299847484,100.0,0.02628079233691096,392.0,0.4017859697341919
34,0.23967504501342773,545.0,78.17660000000001,0.6013923398107289,100.0,0.018620635545812548,392.0,0.3617172837257385
35,0.23931246995925903,627.0,79.44599999999998,0.5596180102899669,100.0,0.014250717940740287,392.0,0.3203055262565613
36,0.2365424931049347,722.0,80.85399999999997,0.5181913548372686,100.0,0.010719067556783557,392.0,0.2816488444805145
37,0.23539026081562042,831.0,82.0916,0.48328385972231613,100.0,0.00841112892376259,392.0,0.2478935867547989
38,0.23438352346420288,957.0,82.6834,0.4592791204154492,100.0,0.007008269533980638,392.0,0.22489559650421143
39,0.23502671718597412,1102.0,83.292,0.4369463589265943,100.0,0.005880172515753656,392.0,0.20191964507102966
40,0.2331695556640625,1269.0,83.9446,0.4193876941464842,100.0,0.005174797726795077,392.0,0.18621814250946045
41,0.2342739999294281,1461.0,84.50060000000002,0.4055015178211033,100.0,0.004612517583882436,392.0,0.17122751474380493
42,0.23359304666519165,1682.0,84.91940000000001,0.3912875766884536,100.0,0.004185113671701402,392.0,0.1576945185661316
43,0.23308688402175903,1937.0,85.17340000000002,0.38305184299126266,100.0,0.0038672664086334407,392.0,0.14996495842933655
44,0.23244673013687134,2230.0,85.5038,0.37399358214437955,100.0,0.0035673536418471485,392.0,0.1415468454360962
45,0.23175935447216034,2568.0,85.82039999999999,0.36528552093729383,100.0,0.0033804084872826935,392.0,0.13352616131305695
